252,mmr_polbnda_adm3_250k_mimu_1.225,Shan (East),MMR222,Kengtung,MMR016D001,Mongyang,MMR016003,မိုင်းယန်း,19404,33,67568,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,34
285,mmr_polbnda_adm3_250k_mimu_1.277,Tanintharyi,MMR006,Dawei,MMR006D001,Launglon,MMR006002,လောင်းလုံး,25735,802,71659,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},11,0,866
294,mmr_polbnda_adm3_250k_mimu_1.290,Yangon,MMR013,Yangon (East),MMR013D002,Dagon Myothit (South),MMR013018,ဒဂုံမြို့သစ် (တောင်ပိုင်း),76984,7902,258163,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},539,1617,69
298,mmr_polbnda_adm3_250k_mimu_1.293,Yangon,MMR013,Yangon (East),MMR013D002,North Okkalapa,MMR013012,မြောက်ဥက္ကလာပ,64756,9218,244948,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},642,1527,9150
8,mmr_polbnda_adm3_250k_mimu_1.8,Ayeyarwady,MMR017,Labutta,MMR017D004,Mawlamyinegyun,MMR017018,မော်လမြိုင်ကျွန်း,74886,1389,199549,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},90,11,1446
18,mmr_polbnda_adm3_250k_mimu_1.18,Ayeyarwady,MMR017,Pathein,MMR017D001,Kyonpyaw,MMR017005,ကျုံပျော်,59488,10180,154582,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},291,601,10371
39,mmr_polbnda_adm3_250k_mimu_1.32,Bago (East),MMR111,Bago,MMR007D001,Shwegyin,MMR007008,ရွှေကျင်,21782,731,64582,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},25,16,794
50,mmr_polbnda_adm3_250k_mimu_1.328,Yangon,MMR013,Yangon (West),MMR013D004,Mayangone,MMR013042,မရမ်းကုန်း,38807,35774,148864,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},630,1638,37182
79,mmr_polbnda_adm3_250k_mimu_1.151,Mon,MMR011,Mawlamyine,MMR011D001,Mawlamyine,MMR011001,မော်လမြိုင်,57457,15541,198729,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},657,1541,16011
87,mmr_polbnda_adm3_250k_mimu_1.60,Chin,MMR004,Matupi,MMR004D002,Matupi,MMR004007,မတူပီ,10157,48,27915,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,54
88,mmr_polbnda_adm3_250k_mimu_1.61,Chin,MMR004,Matupi,MMR004D002,Paletwa,MMR004009,ပလက်ဝ,19516,143,51873,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,159
98,mmr_polbnda_adm3_250k_mimu_1.71,Kachin,MMR001,Myitkyina,MMR001D001,Chipwi,MMR001005,ချီ​ဖွေ,3306,359,10404,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},12,50,378
186,mmr_polbnda_adm3_250k_mimu_1.284,Tanintharyi,MMR006,Myeik,MMR006D002,Palaw,MMR006007,ပုလော,25653,842,74483,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},5,3,1001
189,mmr_polbnda_adm3_250k_mimu_1.137,Mandalay,MMR010,Myingyan,MMR010D004,Natogyi,MMR010019,နွားထိုးကြီး,40965,1353,123131,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},1,1,1445
210,mmr_polbnda_adm3_250k_mimu_1.164,Nay Pyi Taw,MMR018,Oke Ta Ra,MMR018D001,Poke Ba Thi Ri,MMR018005,ပုဗ္ဗသီရိ,27616,1911,76352,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},2,2,24
221,mmr_polbnda_adm3_250k_mimu_1.190,Sagaing,MMR005,Kanbalu,MMR005D002,Kyunhla,MMR005008,ကျွန်းလှ,20863,173,68102,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},10,3,190
228,mmr_polbnda_adm3_250k_mimu_1.197,Sagaing,MMR005,Kawlin,MMR005D004,Wuntho,MMR005025,ဝန်းသို,14205,83,47066,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},16,20,90
245,mmr_polbnda_adm3_250k_mimu_1.212,Sagaing,MMR005,Shwebo,MMR005D002,Tabayin,MMR005010,ဒီပဲယင်း,30345,319,92941,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,343
71,mmr_polbnda_adm3_250k_mimu_1.48,Bago (West),MMR111,Thayarwady,MMR008D002,Letpadan,MMR008008,လက်ပံတန်း,43484,1267,115686,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},35,22,1329
105,mmr_polbnda_adm3_250k_mimu_1.75,Kachin,MMR001,Myitkyina,MMR001D001,Tsawlaw,MMR001006,ဆော့လော်,1073,6,3275,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,6
142,mmr_polbnda_adm3_250k_mimu_1.104,Magway,MMR009,Magway,MMR009D001,Yenangyaung,MMR009002,ရေနံချောင်း,32500,1783,90766,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},75,7,1845
170,mmr_polbnda_adm3_250k_mimu_1.129,Mandalay,MMR010,Mandalay,MMR010D001,Mahaaungmyay,MMR010003,မဟာအောင်မြေ,41927,21037,175909,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},571,2677,22784
23,mmr_polbnda_adm3_250k_mimu_1.23,Ayeyarwady,MMR017,Pyapon,MMR017D006,Bogale,MMR017024,ဘိုကလေး,75987,3067,200054,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},156,70,3151
53,mmr_polbnda_adm3_250k_mimu_1.37,Bago (East),MMR111,Taungoo,MMR007D002,Oktwin,MMR007013,အုတ်တွင်း,36870,1259,100741,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},22,9,1307
67,mmr_polbnda_adm3_250k_mimu_1.45,Bago (West),MMR111,Pyay,MMR008D001,Shwedaung,MMR008006,ရွှေတောင်,33564,1632,90358,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},57,14,1903
78,mmr_polbnda_adm3_250k_mimu_1.150,Mon,MMR011,Mawlamyine,MMR011D001,Kyaikmaraw,MMR011002,ကျိုက်မရော,38888,709,116547,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},17,5,746
86,mmr_polbnda_adm3_250k_mimu_1.59,Chin,MMR004,Hakha,MMR004D003,Thantlang,MMR004003,ထန်တလန်,9782,52,27126,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,62
106,mmr_polbnda_adm3_250k_mimu_1.82,Kayah,MMR002,Bawlake,MMR002D002,Bawlake,MMR002005,ဘောလခဲ,2081,50,7142,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,51
145,mmr_polbnda_adm3_250k_mimu_1.112,Magway,MMR009,Pakokku,MMR009D004,Pauk,MMR009021,ပေါက်,38965,520,107895,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},2,0,579
161,mmr_polbnda_adm3_250k_mimu_1.244,Shan (North),MMR222,Lashio,MMR015D001,Tangyan,MMR015004,တန့်ယန်း,35142,122,102042,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,2,131
182,mmr_polbnda_adm3_250k_mimu_1.254,Shan (North),MMR222,Pa Laung Self-Administered Zone,MMR015D003,Namhsan,MMR015016,နမ့်ဆန်,13685,41,44155,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},4,2,42
187,mmr_polbnda_adm3_250k_mimu_1.285,Tanintharyi,MMR006,Myeik,MMR006D002,Tanintharyi,MMR006008,တနင်္သာရီ,19929,823,61518,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},8,17,898
270,mmr_polbnda_adm3_250k_mimu_1.262,Shan (South),MMR222,Loilen,MMR014D002,Kyethi,MMR014015,ကျေးသီး,14712,34,45309,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},0,0,37
311,mmr_polbnda_adm3_250k_mimu_1.306,Yangon,MMR013,Yangon (North),MMR013D001,Mingaladon,MMR013002,မင်္ဂလာဒုံ,66303,49032,236312,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},488,894,50853
46,mmr_polbnda_adm3_250k_mimu_1.95,Kayin,MMR003,Myawaddy,MMR003D002,Myawaddy,MMR003005,မြဝတီ,44016,4314,129811,2025-05-21 10:27:04.03221+00,2025-06-24 21:40:03.960375+00,{},289,727,4518
